province_state,country_region,lat,long,confirmed,deaths,recovered
Hubei,Mainland China,30.97564,112.2707,64786,2563,18971
Guangdong,Mainland China,23.33841,113.422,1347,7,822
Henan,Mainland China,33.88202,113.614,1271,19,1002
Zhejiang,Mainland China,29.18251,120.0985,1205,1,808
Hunan,Mainland China,27.61041,111.7088,1016,4,768
Anhui,Mainland China,31.82571,117.2264,989,6,712
NA,South Korea,37.5665,126.978,977,10,22
Jiangxi,Mainland China,27.61401,115.7221,934,1,683
Shandong,Mainland China,36.34377,118.1529,756,6,355
Diamond Princess cruise ship,Others,35.4437,139.638,691,3,0
Jiangsu,Mainland China,32.97027,119.464,631,0,458
Chongqing,Mainland China,30.05718,107.874,576,6,372
Sichuan,Mainland China,30.61714,102.7103,529,3,289
Heilongjiang,Mainland China,47.862,127.76220000000001,480,12,243
Beijing,Mainland China,40.18238,116.4142,400,4,215
Shanghai,Mainland China,31.20327,121.4554,336,3,268
NA,Italy,41.8719,12.5674,322,10,1
Hebei,Mainland China,38.0428,114.5149,311,6,248
Fujian,Mainland China,26.07783,117.9895,294,1,199
Guangxi,Mainland China,23.82908,108.7881,252,2,134
Shaanxi,Mainland China,35.19165,108.8701,245,1,186
Yunnan,Mainland China,24.97411,101.4868,174,2,129
NA,Japan,35.6762,139.6503,170,1,22
Hainan,Mainland China,19.19673,109.7455,168,5,124
Guizhou,Mainland China,26.81536,106.8748,146,2,104
Tianjin,Mainland China,39.29362,117.333,135,3,91
Shanxi,Mainland China,37.57769,112.2922,133,0,98
Liaoning,Mainland China,41.29284,122.6086,121,1,83
NA,Iran,32.4279,53.688,95,16,0
Jilin,Mainland China,43.66657,126.1917,93,1,63
Gansu,Mainland China,36.0611,103.8343,91,2,80
NA,Singapore,1.3521,103.8198,91,0,53
Hong Kong,Hong Kong,22.3193,114.1694,84,2,19
Xinjiang,Mainland China,41.11981,85.17822,76,2,30
Inner Mongolia,Mainland China,44.09448,113.9456,75,0,35
Ningxia,Mainland China,37.26923,106.1655,71,0,61
NA,Thailand,13.7563,100.5018,37,0,22
Unassigned Location (From Diamond Princess),US,37.0902,-95.7129,36,0,0
Taiwan,Taiwan,23.6978,120.9605,31,1,5
NA,Bahrain,26.0275,50.55,23,0,0
NA,Malaysia,4.2105,101.9758,22,0,18
Qinghai,Mainland China,35.65945,96.02564,18,0,18
NA,Germany,51.1657,10.4515,17,0,14
NA,Vietnam,21.0278,105.8342,16,0,16
NA,France,46.2276,2.2137,14,1,11
NA,UK,55.3781,-3.436,13,0,8
NA,United Arab Emirates,23.4241,53.8478,13,0,4
NA,Kuwait,29.5,47.75,11,0,0
Macau,Macau,22.1987,113.5439,10,0,7
British Columbia,Canada,49.2827,-123.121,7,0,0
From Diamond Princess,Australia,35.4437,139.638,7,0,0
NA,Spain,40.4637,-3.7492,6,0,2
Queensland,Australia,-27.4698,153.0251,5,0,1
New South Wales,Australia,-33.8688,151.2093,4,0,4
Victoria,Australia,-37.8136,144.9631,4,0,4
"Toronto, ON",Canada,43.6532,-79.3832,3,0,2
NA,India,20.5937,78.9629,3,0,3
NA,Philippines,12.8797,121.774,3,1,1
"Chicago, IL",US,40.6331,-89.3985,2,0,2
None,Austria,47.5162,14.5501,2,0,0
"San Benito, CA",US,36.5761,-120.9876,2,0,0
"San Diego County, CA",US,32.7157,-117.1611,2,0,1
"Santa Clara, CA",US,37.3541,-121.9552,2,0,1
South Australia,Australia,-34.9285,138.6007,2,0,2
NA,Oman,21.4735,55.9754,2,0,0
NA,Russia,61.524,105.3188,2,0,2
"Boston, MA",US,42.3601,-71.0589,1,0,0
From Diamond Princess,Israel,31.0461,34.8516,1,0,0
"Humboldt County, CA",US,40.745,-123.8695,1,0,0
"London, ON",Canada,42.9849,-81.2453,1,0,1
"Los Angeles, CA",US,34.0522,-118.2437,1,0,0
"Madison, WI",US,43.0731,-89.4012,1,0,0
"Orange, CA",US,33.7879,-117.8531,1,0,0
"Sacramento County, CA",US,38.4747,-121.3542,1,0,0
"San Antonio, TX",US,29.4241,-98.4936,1,0,0
"Seattle, WA",US,47.7511,-120.74,1,0,1
"Tempe, AZ",US,34.0489,-111.094,1,0,1
Tibet,Mainland China,30.1534,88.7879,1,0,1
NA,Afghanistan,33,65,1,0,0
NA,Algeria,28.0339,1.6596,1,0,0
NA,Belgium,50.5039,4.4699,1,0,1
NA,Cambodia,12.5657,104.991,1,0,1
NA,Croatia,45.1,15.2,1,0,0
NA,Egypt,26.8206,30.8025,1,0,0
NA,Finland,61.9241,25.7482,1,0,1
NA,Iraq,33.2232,43.6793,1,0,0
NA,Lebanon,33.8547,35.8623,1,0,0
NA,Nepal,28.3949,84.124,1,0,1
NA,Sri Lanka,7.8731,80.7718,1,0,1
NA,Sweden,60.1282,18.6435,1,0,0
NA,Switzerland,46.8182,8.2275,1,0,0
"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134,0,0,0
"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758,0,0,0
"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399,0,0,0
