country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,tot_deaths_1m_pop
China,81285,67,3287,6,74051,3947,1235,56,  200
Italy,74386,5210,7503,683,9362,57521,3489,1230,12400
USA,68203,13347,1027,247,394,66782,1452,206,  300
Spain,49515,7457,3647,656,5367,40501,3166,1059, 7800
Germany,37323,4332,206,47,3547,33570,23,445,  200
Iran,27017,2206,2077,143,9625,15315,,322, 2500
France,25233,2929,1331,231,3900,20002,2827,387, 2000
Switzerland,10897,1020,153,31,131,10613,141,1259, 1800
UK,9529,1452,465,43,135,8929,163,140,  700
S Korea,9137,100,126,6,3730,5281,59,178,  200
Netherlands,6412,852,356,80,3,6053,582,374, 2100
Austria,5588,305,31,3,9,5548,28,620,  300
Belgium,4937,668,178,56,547,4212,474,426, 1500
Canada,3409,617,36,10,185,3188,1,90,  100
Norway,3084,218,14,2,6,3064,57,569,  300
Portugal,2995,633,43,10,22,2930,61,294,  400
Australia,2676,359,11,3,118,2547,11,105,  040
Brazil,2554,307,59,13,2,2493,18,12,  030
Sweden,2526,227,62,22,16,2448,158,250,  600
Turkey,2433,561,59,15,26,2348,136,29,  070
Israel,2369,439,5,2,58,2306,37,274,  060
Malaysia,1796,172,20,4,199,1577,64,55,  060
Denmark,1724,133,34,2,1,1689,87,298,  600
Czechia,1654,260,6,3,10,1638,19,154,  060
Ireland,1564,235,9,2,5,1550,39,317,  200
Luxembourg,1333,234,8,,6,1319,3,2129, 1300
Japan,1307,114,45,2,310,952,57,10,  040
Ecuador,1211,129,29,2,3,1179,2,69,  200
Chile,1142,220,3,1,22,1117,7,60,  020
Pakistan,1063,91,8,1,21,1034,5,5,  004
Poland,1051,150,14,4,7,1030,3,28,  040
Thailand,934,107,4,,70,860,11,13,  006
Romania,906,112,17,5,86,803,18,47,  090
Saudi Arabia,900,133,2,1,29,869,,26,  006
Finland,880,88,3,2,10,867,22,159,  050
Greece,821,78,22,2,36,763,53,79,  200
Indonesia,790,104,58,3,31,701,,3,  020
Iceland,737,89,2,,56,679,11,2160,  600
Diamond Princess,712,,10,,597,105,15,,NA
South Africa,709,155,,,12,697,2,12,NA
Russia,658,163,3,2,29,626,8,5,  002
India,657,121,12,2,43,602,,05,  001
Philippines,636,84,38,3,26,572,1,6,  030
Singapore,631,73,2,,160,469,17,108,  030
Panama,558,115,8,2,2,548,20,129,  200
Qatar,537,11,,,41,496,6,186,NA
Slovenia,528,48,5,1,10,513,14,254,  200
Argentina,502,115,8,2,52,442,,11,  020
Peru,480,64,9,2,1,470,9,15,  030
Colombia,470,92,4,1,8,458,,9,  008
Egypt,456,54,21,1,95,340,,4,  020
Croatia,442,60,1,,22,419,6,108,  020
Bahrain,419,27,4,1,177,238,2,246,  200
Hong Kong,411,24,4,,102,305,4,55,  050
Mexico,405,38,5,1,4,396,1,3,  004
Estonia,404,35,1,1,8,395,6,305,  080
Dominican Republic,392,80,10,4,3,379,,36,  090
Serbia,384,81,4,1,15,365,21,44,  050
