country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,reported1st_case
USA,159689,16198,2951,368,5220,151518,3402,482,  900,Jan 20
Italy,101739,4050,11591,812,14620,75528,3981,1683,19200,Jan 29
Spain,85195,5085,7340,537,16780,61075,5231,1822,15700,Jan 30
Germany,66125,3690,616,75,13500,52009,1979,789,  700,Jan 26
France,44550,4376,3024,418,7927,33599,5056,683, 4600,Jan 23
Iran,41495,3186,2757,117,13911,24827,3511,494, 3300,Feb 18
UK,22141,2619,1408,180,135,20598,163,326, 2100,Jan 30
Switzerland,15760,931,348,48,1823,13589,301,1821, 4000,Feb 24
Belgium,11899,1063,513,82,1527,9859,927,1027, 4400,Feb 03
Netherlands,11750,884,864,93,250,10636,1053,686, 5000,Feb 26
Turkey,10827,1610,168,37,162,10497,568,128,  200,Mar 09
S Korea,9661,78,158,6,5228,4275,59,188,  300,Jan 19
Austria,9597,809,108,22,636,8853,193,1066, 1200,Feb 24
Canada,7427,1107,84,19,1093,6250,120,197,  200,Jan 24
Portugal,6408,446,140,21,43,6225,164,628, 1400,Mar 01
Israel,4695,448,16,1,134,4545,66,542,  200,Feb 20
Brazil,4579,323,159,23,120,4300,296,22,  070,Feb 24
Norway,4445,161,32,6,12,4401,97,820,  600,Feb 25
Australia,4245,82,18,1,244,3983,28,166,  070,Jan 24
Sweden,4028,328,146,36,16,3866,306,399, 1400,Jan 30
Czechia,2976,159,23,7,25,2928,52,278,  200,Feb 29
Ireland,2910,295,54,8,5,2851,84,589, 1100,Feb 28
Malaysia,2626,156,37,2,479,2110,94,81,  100,Jan 24
Denmark,2577,182,77,5,1,2499,137,445, 1300,Feb 26
Chile,2449,310,8,1,156,2285,14,128,  040,Mar 02
Romania,2109,294,65,22,209,1835,33,110,  300,Feb 25
Poland,2055,193,31,9,7,2017,3,54,  080,Mar 03
Luxembourg,1988,38,22,1,40,1926,25,3176, 3500,Feb 28
Ecuador,1962,38,60,2,3,1899,58,111,  300,Feb 28
Japan,1866,,54,,424,1388,56,15,  040,Jan 14
Russia,1836,302,9,1,66,1761,8,13,  006,Jan 30
Pakistan,1690,93,21,7,76,1593,11,8,  010,Feb 25
Philippines,1546,128,78,7,42,1426,1,14,  070,Jan 29
Thailand,1524,136,9,2,229,1286,11,22,  010,Jan 12
Saudi Arabia,1453,154,8,,115,1330,12,42,  020,Mar 01
Indonesia,1414,129,122,8,75,1217,,5,  040,Mar 01
Finland,1352,112,13,2,10,1329,49,244,  200,Jan 28
South Africa,1326,46,3,1,31,1292,7,22,  005,Mar 04
India,1251,227,32,5,102,1117,,09,  002,Jan 29
Greece,1212,56,43,4,52,1117,72,116,  400,Feb 25
Iceland,1086,66,2,,157,927,25,3182,  600,Feb 27
Mexico,993,145,20,4,35,938,1,8,  020,Feb 27
Panama,989,,24,,4,961,36,229,  600,Mar 09
Peru,950,98,18,,16,916,49,29,  050,Mar 05
Dominican Republic,901,42,42,3,4,855,,83,  400,Feb 29
Singapore,879,35,3,,228,648,19,150,  050,Jan 22
Argentina,820,,23,3,228,569,,18,  050,Mar 02
Colombia,798,96,12,2,15,771,29,16,  020,Mar 05
Croatia,790,77,6,,67,717,27,192,  100,Feb 24
Serbia,785,44,16,3,42,727,62,90,  200,Mar 05
Slovenia,756,26,11,,10,735,28,364,  500,Mar 03
Estonia,715,36,3,,20,692,10,539,  200,Feb 26
Diamond Princess,712,,10,,603,99,15,,NA,Feb 04
Qatar,693,59,1,,51,641,6,241,  030,Feb 28
Egypt,656,47,41,1,150,465,,6,  040,Feb 13
Hong Kong,642,,4,,118,520,5,86,  050,Jan 22
Iraq,630,83,46,4,152,432,,16,  100,Feb 21
UAE,611,41,5,2,61,545,2,62,  050,Jan 28
New Zealand,589,75,1,,63,525,2,122,  020,Feb 27
Algeria,584,73,35,4,37,512,,13,  080,Feb 24
Ukraine,548,73,13,3,8,527,,13,  030,Mar 02
Morocco,534,55,33,7,14,487,1,14,  090,Mar 01
Bahrain,515,16,4,,279,232,2,303,  200,Feb 23
Lithuania,491,31,7,,7,477,5,180,  300,Feb 27
Armenia,482,58,3,,30,449,15,163,  100,Feb 29
Hungary,447,39,15,2,34,398,6,46,  200,Mar 03
Lebanon,446,8,11,1,35,400,3,65,  200,Feb 20
Latvia,376,29,,,1,375,3,199,NA,Mar 01
Bulgaria,359,13,8,,17,334,13,52,  100,Mar 06
Bosnia and Herzegovina,358,35,9,3,17,332,1,109,  300,Mar 04
