country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
USA,311637,280,8454, 2,14828,288355,8206,941, 2600,1656897,5006
Spain,126168,,11947,NA,34219,80002,6532,2699,25600,355000,7593
Italy,124632,,15362,NA,20996,88274,3994,2061,25400,657224,10870
Germany,96092,,1444,NA,26400,68248,3936,1147, 1700,918460,10962
France,89953,,7560,NA,15438,66955,6838,1378,11600,224254,3436
Iran,55743,,3452,NA,19736,32555,4103,664, 4100,186000,2214
UK,41903,,4313,NA,135,37455,1559,617, 6400,183190,2698
Turkey,23934,,501,NA,786,22647,1311,284,  600,161380,1913
Switzerland,20505,,666,NA,6415,13424,391,2369, 7700,153440,17729
Belgium,18431,,1283,NA,3247,13901,1245,1590,11100,70000,6040
Netherlands,16627,,1651,NA,250,14726,1360,970, 9600,75415,4401
Canada,14018,106,233, 2,2603,11182,426,371,  600,317972,8425
Austria,11821,40,204,18,2998,8619,244,1313, 2300,108416,12038
Portugal,10524,,266,NA,75,10183,251,1032, 2600,81087,7952
Brazil,10360,,445,NA,127,9788,296,49,  200,54824,258
S Korea,10237,81,183, 6,6463,3591,55,200,  400,461233,8996
Israel,8018,167,46, 2,477,7495,127,926,  500,90394,10443
Sweden,6443,,373,NA,205,5865,379,638, 3700,36900,3654
Australia,5687,137,34, 4,585,5068,85,223,  100,297000,11647
Norway,5645,95,62,NA,32,5551,98,1041, 1100,105865,19528
Russia,4731,,43,NA,333,4355,8,32,  030,639606,4383
Ireland,4604,,137,NA,25,4442,148,932, 2800,30213,6119
Czechia,4475,3,62, 3,78,4335,86,418,  600,80304,7499
Chile,4161,,27,NA,528,3606,38,218,  100,48613,2543
Denmark,4077,,161,NA,1283,2633,142,704, 2800,45270,7816
Poland,3834,207,84, 5,134,3616,50,101,  200,72901,1926
Romania,3613,,146,NA,329,3138,119,188,  800,36092,1876
India,3588,,99,NA,229,3260,,3,  007,128320,93
Malaysia,3483,,57,NA,915,2511,99,108,  200,49570,1532
Ecuador,3465,,172,NA,100,3193,100,196, 1000,11309,641
Philippines,3246,152,152, 8,64,3030,1,30,  100,16268,148
Japan,3139,,77,NA,514,2548,64,25,  060,42882,339
Pakistan,2880,62,45, 4,170,2665,18,13,  020,34885,158
Luxembourg,2729,,31,NA,500,2198,35,4360, 5000,22793,36412
Saudi Arabia,2370,191,29,NA,420,1921,41,68,  080,,
Thailand,2169,102,23, 3,674,1472,23,31,  030,24474,351
Indonesia,2092,,191,NA,150,1751,,8,  070,9712,36
