country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,continent
Europe,778852,NA,65818,NA,185320,527714,30359,,,,,Europe
Asia,263602, 73,9902, 5,129238,124462,6422,,,,,Asia
South America,39631, 26,1617, 2,4129,33885,1128,,,,,South America
Oceania,7521, 44,54, 2,3361,4106,85,,,,,AustraliaOceania
Africa,12880,NA,632,NA,1694,10554,155,,,,,Africa
,721,NA,13,NA,619,89,10,,,,,
World,1603719,435,95722,29,356655,1151342,49127,206,123,,,All
USA,468566,NA,16691,NA,25928,425947,10011,1416,50,2353096,7109,North America
Spain,153222,NA,15447,NA,52165,85610,7371,3277,330,355000,7593,Europe
Italy,143626,NA,18279,NA,28470,96877,3605,2375,302,853369,14114,Europe
Germany,118235,NA,2607,NA,52407,63221,4895,1411,31,1317887,15730,Europe
France,117749,NA,12210,NA,23206,82333,7066,1804,187,333807,5114,Europe
Iran,66220,NA,4110,NA,32309,29801,3918,788,49,231393,2755,Asia
UK,65077,NA,7978,NA,135,56964,1559,959,118,298169,4392,Europe
Turkey,42282,NA,908,NA,2142,39232,1552,501,11,276338,3277,Asia
Belgium,24983,NA,2523,NA,5164,17296,1285,2156,218,84248,7269,Europe
Switzerland,24051,NA,948,NA,10600,12503,386,2779,110,178500,20625,Europe
Netherlands,21762,NA,2396,NA,250,19116,1424,1270,140,101534,5926,Europe
Canada,20765,NA,509,NA,5311,14945,518,550,13,370315,9812,North America
Brazil,18145,NA,954,NA,173,17018,296,85,4,62985,296,South America
Portugal,13956,NA,409,NA,205,13342,241,1369,40,140368,13766,Europe
Austria,13244,NA,295,NA,5240,7709,266,1471,33,126287,14022,Europe
S Korea,10450, 27,208, 4,7117,3125,55,204,4,477304,9310,Asia
Russia,10131,NA,76,NA,698,9357,8,69,05,1004719,6885,Europe
Israel,9968,NA,86,NA,1011,8871,166,1152,10,117339,13557,Asia
Sweden,9141,NA,793,NA,205,8143,719,905,79,54700,5416,Europe
India,6725,NA,227,NA,635,5863,,5,02,177584,129,Asia
Ireland,6574,NA,263,NA,25,6286,165,1331,53,53000,10734,Europe
Norway,6219,NA,108,NA,32,6079,78,1147,20,121034,22326,Europe
Australia,6152,NA,52, 1,2987,3113,81,241,2,330134,12946,AustraliaOceania
Chile,5972,NA,57,NA,1274,4641,360,312,3,68353,3576,South America
Denmark,5635,NA,237,NA,1736,3662,120,973,41,64002,11050,Europe
Poland,5575,NA,174,NA,284,5117,160,147,5,107597,2843,Europe
Czechia,5569,NA,112,NA,301,5156,96,520,10,106845,9977,Europe
Peru,5256,NA,138,NA,1438,3680,124,159,4,48465,1470,South America
Romania,5202,NA,248,NA,647,4307,178,270,13,51802,2693,Europe
Japan,4979,NA,99,NA,685,4195,109,39,08,61498,486,Asia
Ecuador,4965,NA,272,NA,339,4354,139,281,15,19102,1083,South America
Pakistan,4489,NA,65,NA,572,3852,31,20,03,44896,203,Asia
Malaysia,4228,NA,67,NA,1608,2553,72,131,2,69675,2153,Asia
Philippines,4076,NA,203,NA,124,3749,1,37,2,24500,224,Asia
Mexico,3441,260,194,20,633,2614,89,27,2,25410,197,North America
Indonesia,3293,NA,280,NA,252,2761,,12,1,14354,52,Asia
Saudi Arabia,3287,NA,44,NA,666,2577,41,94,1,115585,3320,Asia
Luxembourg,3115,NA,52,NA,500,2563,30,4976,83,27521,43965,Europe
UAE,2990,NA,14,NA,268,2708,1,302,1,593095,59967,Asia
Serbia,2867,NA,66,NA,118,2683,127,328,8,12347,1413,Europe
Panama,2752,NA,66,NA,16,2670,107,638,15,11776,2729,North America
Finland,2605,NA,42,NA,300,2263,82,470,8,39000,7039,Europe
Thailand,2423,NA,32,NA,940,1451,61,35,05,71860,1030,Asia
Qatar,2376,NA,6,NA,206,2164,37,825,2,43144,14975,Asia
