number,country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,population,continent,x1_caseevery_x_ppl,x1_deathevery_x_ppl,x1_testevery_x_ppl
  1,USA,6000365,,183653,NA,3313861,,2502851,16378,18111,554,78632566,237343,331303997,North America,55,1804,4
  2,Brazil,3722004,,117756,NA,2908848,,695400,8318,17491,553,14172764,66603,212793132,South America,57,1807,15
  3,India,3310234,2485,60629,NA,2523771,328,725834,8944,2395,44,38576510,27912,1382085803,Asia,418,22796,36
  4,Russia,970865,,16683,NA,786150,,168032,2300,6652,114,35100000,240503,145944331,Europe,150,8748,4
  5,South Africa,615701,,13502,NA,525242,,76957,539,10361,227,3598973,60566,59422425,Africa,97,4401,17
  6,Peru,613378,,28124,NA,421877,,163377,1512,18564,851,3055850,92485,33041424,South America,54,1175,11
  7,Mexico,573888,5267,62076,626,396758,3657,115054,3305,4444,481,1291083,9998,129140136,North America,225,2080,100
  8,Colombia,572270,,18184,NA,407121,,146965,1493,11228,357,2582612,50673,50965881,South America,89,2803,20
  9,Spain,426818,,28971,NA,"NA","NA","NA",697,9128,620,8517446,182162,46757635,Europe,110,1614,5
 10,Chile,402365,,10990,NA,376268,,15107,1004,21021,574,2276223,118916,19141470,South America,48,1742,8
 11,Argentina,370188,,7839,NA,268801,,93548,2022,8179,173,1148574,25378,45259525,South America,122,5774,39
 12,Iran,365606,,21020,NA,314870,,29716,3831,4344,250,3113806,37000,84156368,Asia,230,4004,27
 13,UK,328846,,41465,NA,"NA","NA","NA",68,4840,610,15177265,223387,67941476,Europe,207,1639,4
 14,Saudi Arabia,310836,,3755,NA,284945,,22136,1601,8908,108,4792192,137330,34895566,Asia,112,9293,7
 15,Bangladesh,302147,,4082,NA,190183,,107882,,1832,25,1485261,9005,164940992,Asia,546,40407,111
 16,Pakistan,294638,445,6274,  7,279561,622,8803,641,1330,28,2535778,11447,221530617,Asia,752,35309,87
 17,Italy,262540,,35458,NA,206329,,20753,69,4343,587,8219421,135976,60447728,Europe,230,1705,7
 18,Turkey,262507,,6183,NA,239797,,16527,841,3107,73,6621749,78384,84477895,Asia,322,13663,13
 19,France,253587,,30544,NA,85524,,137519,410,3884,468,6000000,91889,65296176,Europe,257,2138,11
 20,Germany,239000,,9352,NA,214233,,15415,245,2851,112,11208091,133707,83825861,Europe,351,8963,7
 21,Iraq,215784,,6668,NA,157215,,51901,595,5347,165,1502546,37233,40355467,Asia,187,6052,27
 22,Philippines,202361,,3137,NA,133460,,65764,717,1843,29,2406194,21914,109802427,Asia,543,35002,46
 23,Indonesia,160165,,6944,NA,115409,,37812,,585,25,2106753,7690,273966320,Asia,1711,39454,130
 24,Canada,126417,,9094,NA,112455,,4868,45,3345,241,5246341,138817,37793085,North America,299,4156,7
 25,Qatar,117742,,194,NA,114558,,2990,63,41934,69,604112,215155,2807805,Asia,24,14473,5
 26,Bolivia,112094,1095,4726, 62,50397,1522,56971,71,9583,404,239073,20439,11697161,South America,104,2475,49
